                                                  NC-R4100

    P/N     NCU18XH103F6SRB
    R25          10      k ohm +/-       1           %
  B(25/50)      3380       K +/-         1           %

   TEMP.       R-low      R-center     R-high
  (deg.C)     (k ohm)     (k ohm)     (k ohm)
    -55       447.8411    470.1223    493.4627
    -54       421.8776    442.6000    464.2938
    -53       397.5214    416.7970    436.9635
    -52       374.6683    392.6009    411.3507
    -51       353.2215    369.9073    387.3425
    -50       333.0903    348.6184    364.8339
    -49       314.1901    328.6431    343.7266
    -48       296.4421    309.8966    323.9294
    -47       279.7725    292.2995    305.3569
    -46       264.1124    275.7777    287.9295
    -45       249.3977    260.2623    271.5731
    -44       235.5682    245.6888    256.2186
    -43       222.5680    231.9970    241.8012
    -42       210.3445    219.1306    228.2609
    -41       198.8489    207.0372    215.5412
    -40       188.0202    195.6520    203.5731
    -39       177.8044    184.9171    192.2951
    -38       168.2141    174.8452    181.7195
    -37       159.2069    165.3910    171.7981
    -36       150.7435    156.5125    162.4860
    -35       142.7877    148.1710    153.7418
    -34       135.3055    140.3304    145.5274
    -33       128.2659    132.9576    137.8071
    -32       121.6397    126.0215    130.5481
    -31       115.4001    119.4936    123.7198
    -30       109.5221    113.3471    117.2940
    -29       103.9894    107.5649    111.2522
    -28       98.7725     102.1155    105.5611
    -27       93.8512     96.9776     100.1981
    -26       89.2071     92.1315     95.1423
    -25       84.8227     87.5588     90.3741
    -24       80.6819     83.2424     85.8755
    -23       76.7698     79.1663     81.6295
    -22       73.0722     75.3157     77.6204
    -21       69.5761     71.6768     73.8336
    -20       66.2694     68.2367     70.2554
    -19       63.1477     64.9907     66.8807
    -18       60.1923     61.9190     63.6889
    -17       57.3933     59.0113     60.6689
    -16       54.7415     56.2579     57.8105
    -15       52.2283     53.6496     55.1040
    -14       49.8456     51.1779     52.5406
    -13       47.5859     48.8349     50.1117
    -12       45.4422     46.6132     47.8097
    -11       43.4078     44.5058     45.6271
    -10       41.4765     42.5062     43.5570
     -9       39.6345     40.5997     41.5843
     -8       37.8855     38.7905     39.7131
     -7       36.2244     37.0729     37.9374
     -6       34.6461     35.4417     36.2519
     -5       33.1462     33.8922     34.6515
     -4       31.7202     32.4197     33.1313
     -3       30.3641     31.0200     31.6869
     -2       29.0740     29.6890     30.3140
     -1       27.8465     28.4231     29.0088
     0        26.6780     27.2186     27.7675
     1        25.5690     26.0760     26.5904
     2        24.5123     24.9877     25.4698
     3        23.5052     23.9509     24.4026
     4        22.5450     22.9629     23.3861
     5        21.6294     22.0211     22.4175
     6        20.7560     21.1230     21.4944
     7        19.9227     20.2666     20.6143
     8        19.1273     19.4495     19.7751
     9        18.3680     18.6698     18.9745
     10       17.6430     17.9255     18.2107
     11       16.9494     17.2139     17.4807
     12       16.2870     16.5344     16.7840
     13       15.6541     15.8856     16.1189
     14       15.0493     15.2658     15.4838
     15       14.4712     14.6735     14.8772
     16       13.9184     14.1075     14.2977
     17       13.3898     13.5664     13.7439
     18       12.8841     13.0489     13.2145
     19       12.4002     12.5540     12.7084
     20       11.9371     12.0805     12.2244
