Ref Des,Manufacturer,Part Number,Description,DNP,QAF,Currency,Lead Time
C421,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C936,Samwha,CQ1608X7R472K500N*B,"CAP CE,4.7nF,10%,50V,X7R,0603,CQ1608X7R472K500N*B,SAMWH",DNP,1.0. Basis Connector,EUR,
C937,Samwha,CQ1608X7R472K500N*B,"CAP CE,4.7nF,10%,50V,X7R,0603,CQ1608X7R472K500N*B,SAMWH",DNP,1.0. Basis Connector,EUR,
C939,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C940,Samsung,CL31B475KBHVPJ*,"CAP CE ST,4.7uF,10%,50V,X7R,1206,CL31B475KBHVPJ*,SMSNG",DNP,1.0. Basis Connector,EUR,
C1065,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1066,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1067,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1068,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1069,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1070,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
C1071,Murata,GCM188R72A223KA37*,"CAP CE,22nF,10%,100V,X7R,0603,GCM188R72A223KA37*,MUR",,1.0. Basis Connector,EUR,
